name,note,price,seller_name,seller_rating,seller_url,url
Samsung Galaxy A50 2019 64 GB (Samsung Türkiye Garantili),"Kapalı Kutu, Orijinal Ürün, Adınıza Faturalı",2398,Mobifon,100,https://www.n11.com/magaza/mobifon,https://urun.n11.com/cep-telefonu/samsung-galaxy-a50-2019-64-gb-samsung-turkiye-garantili-P337716122
Samsung Galaxy M20 32GB SM-M205F Koyu Mavi,Samsung 32GB Hafıza Kartı Hediye. Samsung Türkiye Garantilidir,1699,SamsungTürkiye,93,https://www.n11.com/magaza/samsungturkiye,https://urun.n11.com/cep-telefonu/samsung-galaxy-m20-32gb-sm-m205f-koyu-mavi-P322116104
Huawei Mate 20 Lite 64 GB (Huawei Türkiye Garantili),Adınıza Faturalı 2 Yıl Huawei Türkiye Garantilidir.,2265,teknolojiankara,100,https://www.n11.com/magaza/teknolojiankara,https://urun.n11.com/cep-telefonu/huawei-mate-20-lite-64-gb-huawei-turkiye-garantili-P289147552
Xiaomi Redmi Note7 128 GB Cep Telefonu,Adınıza Faturalı 2 Yıl Huawei Türkiye Garantilidir.,2090,Techpazar,100,https://www.n11.com/magaza/techpazar,https://urun.n11.com/cep-telefonu/xiaomi-redmi-note7-128-gb-cep-telefonu-P337021405
Samsung Galaxy J7 Prime2 32GB (Siyah) SM-G611F,"Adınıza Faturalı, Memnuniyet garantili.",1299,SamsungTürkiye,93,https://www.n11.com/magaza/samsungturkiye,https://urun.n11.com/cep-telefonu/samsung-galaxy-j7-prime2-32gb-siyah-sm-g611f-P260812491
Samsung Galaxy A30 64 GB (Samsung Türkiye Garantili),"Adınıza Faturalı, Memnuniyet garantili.",1936,Mobifon,100,https://www.n11.com/magaza/mobifon,https://urun.n11.com/cep-telefonu/samsung-galaxy-a30-64-gb-samsung-turkiye-garantili-P338036907
Samsung Galaxy J7 Prime2 32GB (Altın Sarısı) SM-G611F,"Adınıza Faturalı, Memnuniyet garantili.",1199,SamsungTürkiye,93,https://www.n11.com/magaza/samsungturkiye,https://urun.n11.com/cep-telefonu/samsung-galaxy-j7-prime2-32gb-altin-sarisi-sm-g611f-P260812501
Huawei Mate 20 Lite 64GB (Huawei Türkiye Garantili),"Adınıza Faturalı, Memnuniyet garantili.",2265,Numarabir,100,https://www.n11.com/magaza/numarabir,https://urun.n11.com/cep-telefonu/huawei-mate-20-lite-64gb-huawei-turkiye-garantili-P289122086
HUAWEI P20 LİTE 64GB 4GB RAM CEP TELEFONU,2 YIL RESMİ İTHALATÇI FİRMA GARANTİLİ-SIFIR ÜRÜN-ORJİNAL-FATURALI,1779,idealcep,99,https://www.n11.com/magaza/idealcep,https://urun.n11.com/cep-telefonu/huawei-p20-lite-64gb-4gb-ram-cep-telefonu-P295519432
Huawei P20 Lite (Huawei Türkiye Garantili),2 Yıl Resmi Distribütör Garantisi Altındadır.Adınıza Faturalı,1873,teknolojiankara,100,https://www.n11.com/magaza/teknolojiankara,https://urun.n11.com/cep-telefonu/huawei-p20-lite-huawei-turkiye-garantili-P251850515
Huawei P Smart 2019 64 GB - Huawei Türkiye Garantili,2 Yıl Resmi Distribütör Garantisi Altındadır.Adınıza Faturalı,1739,gsm-dunyasi,100,https://www.n11.com/magaza/gsm-dunyasi,https://urun.n11.com/cep-telefonu/huawei-p-smart-2019-64-gb-huawei-turkiye-garantili-P313667300
Samsung Galaxy A70 2019 128 GB (Samsung Türkiye Garantili),2 Yıl Resmi Distribütör Garantisi Altındadır.Adınıza Faturalı,2964,Mobifon,100,https://www.n11.com/magaza/mobifon,https://urun.n11.com/cep-telefonu/samsung-galaxy-a70-2019-128-gb-samsung-turkiye-garantili-P344331842
XİAOMİ Mİ8 LİTE 64 GB 4ROMÇİFT HATLI CEP LİTE TEKNİKSERVİS GLOBAL,(İTHALATÇI GARANTİLİ),1799,Aksarayİletişim,100,https://www.n11.com/magaza/aksarayiletisim,https://urun.n11.com/cep-telefonu/xiaomi-mi8-lite-64-gb-4romcift-hatli-cep-lite-teknikservis-global-P315109010
HUAWEİ MATE 20 LİTE 64 GB 4 ROM ÇİFT HATLI CEP TELEFONU,2 YIL LİTE TEKNİK SERVİS GARANTİLİ,2199,Aksarayİletişim,100,https://www.n11.com/magaza/aksarayiletisim,https://urun.n11.com/cep-telefonu/huawei-mate-20-lite-64-gb-4-rom-cift-hatli-cep-telefonu-P315446138
Apple İphone 6 16 GB Adınıza Faturalı Garantili Cep Telefonu,Aynı Gün Stoktan Hızlı Gönderim Garantili Outlet Ürün,1379,mobilcity,85,https://www.n11.com/magaza/mobilcity,https://urun.n11.com/cep-telefonu/apple-iphone-6-16-gb-adiniza-faturali-garantili-cep-telefonu-P342072595
Samsung Galaxy Note9 512GB (Okyanus Mavisi),,7499,SamsungTürkiye,93,https://www.n11.com/magaza/samsungturkiye,https://urun.n11.com/cep-telefonu/samsung-galaxy-note9-512gb-okyanus-mavisi-P274621149
Xiaomi Redmi Note 7 128GB Siyah Xiaomi Türkiye Garantili,2 YIL LİTE TEKNİK SERVİS GARANTİLİ,2169,Ceptech,100,https://www.n11.com/magaza/ceptech,https://urun.n11.com/cep-telefonu/xiaomi-redmi-note-7-128gb-siyah-xiaomi-turkiye-garantili-P342005566
Huawei Mate 20 Lite 64 GB CepTelefonu,2 YIL LİTE TEKNİK SERVİS GARANTİLİ,2167,Techpazar,100,https://www.n11.com/magaza/techpazar,https://urun.n11.com/cep-telefonu/huawei-mate-20-lite-64-gb-ceptelefonu-P286954388
Samsung Galaxy A20 2019 32 GB (Samsung Türkiye Garantili),Aynı Gün Stoktan Hızlı Gönderim Garantili Outlet Ürün,1587,cennetelektro,100,https://www.n11.com/magaza/cennetelektro,https://urun.n11.com/cep-telefonu/samsung-galaxy-a20-2019-32-gb-samsung-turkiye-garantili-P346865867
XİAOMİ REDMİ 6 32GB 3GB RAM CEP TELEFONU,Aynı Gün Stoktan Hızlı Gönderim Garantili Outlet Ürün,1249,idealcep,99,https://www.n11.com/magaza/idealcep,https://urun.n11.com/cep-telefonu/xiaomi-redmi-6-32gb-3gb-ram-cep-telefonu-P345168908
XİAOMİ REDMİ NOTE 7 128GB 4GB RAM 4.5G CEP TELEFONU,2 RESMİ İTHALAT GARANTİLİ-SIFIR ÜRÜN-ORJİNAL,2145,idealcep,99,https://www.n11.com/magaza/idealcep,https://urun.n11.com/cep-telefonu/xiaomi-redmi-note-7-128gb-4gb-ram-45g-cep-telefonu-P344990309
Samsung Galaxy A50 2019 64 GB - Samsung Türkiye Garantili,"KAPALI KUTU, ORiJiNAL, ADINIZA FATURALI, DiSTRiBüTöR GARANTiLi",2398,gsm-dunyasi,100,https://www.n11.com/magaza/gsm-dunyasi,https://urun.n11.com/cep-telefonu/samsung-galaxy-a50-2019-64-gb-samsung-turkiye-garantili-P331740198
Samsung Galaxy M20 64GB 150 TL DEĞERİNDE AKSESUAR HEDİYE,Adınıza Faturalı Kapalı Kutu 2 Yıl Delta Garantili,1859,MardinBilişim,100,https://www.n11.com/magaza/mardinbilisim,https://urun.n11.com/cep-telefonu/samsung-galaxy-m20-64gb-150-tl-degerinde-aksesuar-hediye-P344310826
Honor Play 64 GB 4 GB RAM MAVİ (Honor Türkiye Garantili),Adınıza Faturalı Kapalı Kutu 2 Yıl Delta Garantili,2399,MarmaraAvm,100,https://www.n11.com/magaza/marmaraavm,https://urun.n11.com/cep-telefonu/honor-play-64-gb-4-gb-ram-mavi-honor-turkiye-garantili-P344732963
Xiaomi Redmi 6A 32 GB (Xiaomi Türkiye Garantili),Adınıza Faturalı Kapalı Kutu 2 Yıl Delta Garantili,987,BPS,100,https://www.n11.com/magaza/bps,https://urun.n11.com/cep-telefonu/xiaomi-redmi-6a-32-gb-xiaomi-turkiye-garantili-P346205426
Xiaomi Redmi S2 32 GB Global Version,2 Yıl Servis Garantili-Adınıza Faturalı-Ücretsiz Gönderi,1289,digitalfoni,100,https://www.n11.com/magaza/digitalfoni,https://urun.n11.com/cep-telefonu/xiaomi-redmi-s2-32-gb-global-version-P294532962
Apple iPhone 6S 32GB (Apple Türkiye Garantili),Resmi Distribütör Garantisi Altındadır,2669,teknolojiankara,100,https://www.n11.com/magaza/teknolojiankara,https://urun.n11.com/cep-telefonu/apple-iphone-6s-32gb-apple-turkiye-garantili-P295938935
